Cyclone,Peak_Date,SST_Large,SST_Anom,SST_Submeso,MSLA_Large,MSLA_Anom,MSLA_Submeso,Category,Max_Wind_mph,Min_Pressure_mb,Z_SST,Z_MSLA,Z_V,COCI_A,COCI_B,COCI_C,COCI_D,COCI_A_Class,COCI_B_Class,COCI_C_Class,COCI_D_Class,COCI_Scale_0_to_1,COCI_Score_100
BUD,2024-07-25,0.1884316476854692,0.0014255913887809,0.0034131027928253,0.0085868396050836,-2.6518727710073555e-05,8.412021611802861e-05,TS,60,1000,0.389197822649332,0.02403450008825057,-0.731672163663045,-0.1061466136418208,-0.3023505876729128,0.17959850139190642,0.2066161613687913,Weak,Weak,Moderate,Moderate,0.4154413420700691,41.54413420700691
CARLOTTA,2024-08-03,-0.0225505358255304,0.0035314760946437,0.0003501854955398,-0.0076816367359901,4.091834883997416e-05,0.0001866360916163,1,90,979,0.7318769504200555,0.1730480804915341,0.032663935877814576,0.31252965559646806,0.029558413183925537,0.41111595226017134,0.4524625154557948,Moderate,Moderate,Moderate,Moderate,0.516134794590499,51.613479459049906
DANIEL,2024-08-03,-0.7049208864265957,1.6375943383723032e-16,-2.3619149111139276e-17,-0.0130448613086771,-1.7931233654003956e-18,1.0265220000090364e-18,TS,40,1005,0.15721911445852163,0.08263209603956506,-1.2412295633569514,-0.3337927842862882,-0.2977104132771764,0.11440706990381863,0.11992560524904335,Weak,Weak,Moderate,Moderate,0.3606914540075095,36.069145400750955
FABIO,2024-08-06,-0.2841303728569286,-0.0006540248347229,0.0061303628936368,-0.0099811436369106,9.124412429620864e-05,0.0001057330166777,TS,65,995,0.0507932216832252,0.2842513587318018,-0.6042828137395684,-0.08974607777484712,-0.2024616817813856,0.18479536276413744,0.1675222902075135,Weak,Weak,Moderate,Moderate,0.419385741838977,41.9385741838977
EMILIA,2024-08-07,-0.0176067729281115,0.0033974588080295,0.0008924170280526,-0.0075010979616553,1.563265336179757e-05,-1.2312044336530065e-05,TS,70,988,0.7100690486126593,0.11717507696069607,-0.4768934638160918,0.11678355391908785,-0.39450731646619147,0.36975509494310926,0.4136220627866777,Moderate,Weak,Moderate,Moderate,0.46905701100565383,46.90570110056538
GILMA,2024-08-25,0.086304212405718,0.0028468589392768,0.0019349423428714,0.0073174328466683,3.072397321919132e-05,-3.646042514399876e-05,4,130,949,0.6204729362283651,0.15052189031629107,1.0517787352656274,0.6075911872700944,0.8109159635594801,0.350726731827151,0.38549741327232806,Moderate,Moderate,Moderate,Moderate,0.5870983683899823,58.70983683899823
HONE,2024-08-25,0.0517902300449506,3.049259980332126e-05,-3.783518696844342e-05,-0.0021355781007192,9.073001873382937e-07,-1.128908250203611e-06,1,85,988,0.16218100884662237,0.08463692863808049,-0.09472541404566202,0.05069750781301361,-0.023379931322134805,0.1176716466652027,0.12340896874235144,Moderate,Weak,Moderate,Moderate,0.45316303125382423,45.316303125382426
HECTOR,2024-08-27,0.0277614458492578,0.0001858217163366,0.0007304398563435,-0.0015415778381861,3.756324929415476e-06,3.527597030360827e-06,TS,50,1000,0.18745686845224735,0.0909323287235126,-0.9864508635099982,-0.2360205554447461,-0.27461726394588354,0.1320529525552885,0.13919459858787997,Weak,Weak,Moderate,Moderate,0.38420609767380515,38.42060976738051
ILEANA,2024-09-14,-0.5731006519130339,-0.0158812192986447,-0.0093003631436352,0.0001069070673485,-0.0001737193306638,0.0012174428427064,TS,45,999,-2.427045048742901,-0.3012300280586388,-1.1138402134334748,-1.2807050967450049,3.038862493849857,-1.2068529924069846,-1.36413753840077,Suppressed,Extreme,Suppressed,Suppressed,0.13295494974123778,13.295494974123779
JOHN,2024-09-24,-0.9192028163766288,-0.0148485138818761,0.0414621408946702,-0.0235044040947299,-0.0005679273413723,0.00073751483959,3,115,962,-2.25899853105979,-1.172299032002404,0.6696106854951975,-0.9205622925223321,-2.2976335133400765,-1.6352461897355517,-1.715648781531097,Weak,Suppressed,Suppressed,Suppressed,0.21957085090885467,21.957085090885467
LANE,2024-11-02,-0.2249398034769427,1.0655455689705556e-16,1.1063628387496685e-17,-0.0108802022841657,-1.0315661088270909e-18,1.8912045328496666e-18,TS,45,1004,0.15721911445851233,0.08263209603956674,-1.1138402134334748,-0.29132966764513196,-0.2671559234934577,0.11440706990381565,0.11992560524903953,Weak,Weak,Moderate,Moderate,0.37090401711063153,37.09040171106315
EWINIAR,2024-05-26,0.3471317618997211,0.0035958590906125,0.0024479945567969,0.0005243922155891,9.692238253833012e-05,0.0003732741813593,2,105,957,0.7423536440588058,0.2967984268195624,0.41483198564824436,0.48466135217553746,0.43107351695295865,0.4866103496307925,0.5195760354391841,Moderate,Moderate,Moderate,Moderate,0.557533211673653,55.7533211673653
GAEMI,2024-07-24,-0.2080131463257259,-0.0043219966322532,0.0144635856323612,0.0018492615322993,-2.8288242805590657e-05,-0.0006837620606338,4,145,919,-0.5460758152426674,0.020124458410139375,1.4339467850360572,0.30266514273450973,-0.7541862572153557,-0.2210837206887409,-0.262975678416264,Moderate,Weak,Weak,Weak,0.5137623366068881,51.37623366068881
