Cyclone,Date,SST_Anomaly,MSLA_Anomaly
HONE,2024-08-22,-2.7909009112634763e-05,-1.56632275093257e-05
HONE,2024-08-23,-6.56471841988525e-05,-1.5663796800240516e-05
HONE,2024-08-24,-8.583894833742947e-05,-1.5440883080208094e-05
HONE,2024-08-25,-6.747517037839144e-05,-1.5073141776071661e-05
HONE,2024-08-26,-5.419209568593122e-05,-1.4669763134062241e-05
HONE,2024-08-27,-5.722171257877757e-05,-1.4287190446174192e-05
HONE,2024-08-28,-6.491820332281933e-05,-1.3967381677712797e-05
HONE,2024-08-29,-7.839890934428956e-05,-1.3719425728611822e-05
HONE,2024-08-30,-2.5710517285143315e-05,-1.3478389341055444e-05
HONE,2024-08-31,1.0229386731336526e-05,-1.3190604681720654e-05
HONE,2024-09-01,1.26235281778861e-05,-1.283058163948603e-05
HONE,2024-09-02,1.0175006932330801e-05,-1.2348258135806092e-05
HECTOR,2024-08-20,-0.005075368610110732,-3.494739658095871e-05
HECTOR,2024-08-21,-0.003941051353123444,-3.1116646011125593e-05
HECTOR,2024-08-22,-0.003551787410381209,-2.87087418815371e-05
HECTOR,2024-08-23,-0.003536190818757072,-2.7745261216776013e-05
HECTOR,2024-08-24,-0.003632636960947354,-2.8095644208705723e-05
HECTOR,2024-08-25,-0.0034206481905062966,-2.9555083174720262e-05
HECTOR,2024-08-26,-0.0035593773591096477,-3.1820966601125506e-05
HECTOR,2024-08-27,-0.004108039313829903,-3.456848171330706e-05
HECTOR,2024-08-28,-0.0049377191792907785,-3.731721891910456e-05
HECTOR,2024-08-29,-0.005157211839525107,-3.979507321448036e-05
HECTOR,2024-08-30,-0.005756005177125383,-4.182405088259634e-05
HECTOR,2024-08-31,-0.006450514615502296,-4.322610771314976e-05
ILEANA,2024-09-09,0.07121701191891862,-0.00022279077869917315
ILEANA,2024-09-10,0.06661786777218733,-8.904517821393998e-05
ILEANA,2024-09-11,0.06365701609654603,3.297209309744575e-05
ILEANA,2024-09-12,0.06086474536629995,0.00013165995432602658
ILEANA,2024-09-13,0.06053800531930327,0.00019835278639805876
ILEANA,2024-09-14,0.045282790136028005,0.00022460813223122635
ILEANA,2024-09-15,0.022011747006422618,0.0002045410176822986
ILEANA,2024-09-16,0.016177746378135037,0.00013584080680388659
ILEANA,2024-09-17,0.020233345937965348,2.179668309357614e-05
ILEANA,2024-09-18,0.027226782333485623,-0.00012878830203218086
ILEANA,2024-09-19,0.0384011644341202,-0.00030279699455228876
ILEANA,2024-09-20,0.05194689246743116,-0.00048061684512236224
JOHN,2024-09-19,-0.010033848651874636,0.0013077527781416441
JOHN,2024-09-20,-0.0030527612309729437,0.0012940698288730532
JOHN,2024-09-21,0.010262193688821565,0.0012555122018027348
JOHN,2024-09-22,0.0123319329415963,0.0011749042896388464
JOHN,2024-09-23,0.015143104702099121,0.0010381942385470028
JOHN,2024-09-24,0.023149712191306068,0.0008508633563799018
JOHN,2024-09-25,0.02932846033483913,0.0006211769080538792
JOHN,2024-09-26,0.024862148128698646,0.00036157037640405785
JOHN,2024-09-27,0.015384704796195211,9.795737119186597e-05
JOHN,2024-09-28,0.01104140380344872,-0.00014342776368052662
JOHN,2024-09-29,0.0087148196823518,-0.00034703147245052963
JOHN,2024-09-30,0.007511443215110371,-0.0005006982665013609
LANE,2024-10-28,-1.5261362342674985e-15,0.0
LANE,2024-10-29,-1.5570714282053533e-15,-4.1262644353083634e-18
LANE,2024-10-30,-1.588006622143208e-15,-4.1262644353083634e-18
LANE,2024-10-31,-1.680812203956772e-15,0.0
LANE,2024-11-01,-1.5776948908305898e-15,0.0
LANE,2024-11-02,-1.5570714282053533e-15,4.1262644353083634e-18
LANE,2024-11-03,-1.5055127716422622e-15,2.0631322176541817e-18
LANE,2024-11-04,-1.5673831595179715e-15,0.0
LANE,2024-11-05,-1.546759696892735e-15,0.0
LANE,2024-11-06,-1.4848893090170257e-15,-2.0631322176541817e-18
LANE,2024-11-07,-1.6498770100189175e-15,0.0
LANE,2024-11-08,-1.5261362342674985e-15,-2.0631322176541817e-18
EWINIAR,2024-05-17,-0.1833086301057113,-0.0005241417766373489
EWINIAR,2024-05-18,-0.18230488385980576,-0.0005841377948456084
EWINIAR,2024-05-19,-0.18280212549896965,-0.0006333573246725537
EWINIAR,2024-05-20,-0.18176834903615494,-0.0006630298064486325
EWINIAR,2024-05-21,-0.18015612757913638,-0.0006651131688543866
EWINIAR,2024-05-22,-0.17969401724863335,-0.0006353139084279703
EWINIAR,2024-05-23,-0.1794505651594738,-0.0005753788452012731
EWINIAR,2024-05-24,-0.17999217954655886,-0.0004924709399938335
EWINIAR,2024-05-25,-0.1802434514088815,-0.0003974802871264432
EWINIAR,2024-05-26,-0.18064705903559852,-0.0003034242359324427
EWINIAR,2024-05-27,-0.18051695431086048,-0.00022260004508695724
EWINIAR,2024-05-28,-0.17933420987270507,-0.00016379784897671052
EWINIAR,2024-05-29,-0.17682430175657027,-0.00013094042953351291
EWINIAR,2024-05-30,-0.1749600048228127,-0.0001225403742063907
EWINIAR,2024-05-31,-0.17171850338650463,-0.000134312164058986
EWINIAR,2024-06-01,-0.1700763715495675,-0.00016018075940724702
EWINIAR,2024-06-02,-0.16864811222472192,-0.00019426532599516852
EWINIAR,2024-06-03,-0.16814433855114233,-0.00023081584941655526
EWINIAR,2024-06-04,-0.16654871639936744,-0.00026286306898990744
EWINIAR,2024-06-05,-0.16278087129216035,-0.00028498743742031357
GAEMI,2024-07-18,-0.013785957422766469,-0.0013869388531210435
GAEMI,2024-07-19,-0.014317724199856764,-0.0011991674330769817
GAEMI,2024-07-20,-0.017567342474834612,-0.0010761427131155024
GAEMI,2024-07-21,-0.017773805958485562,-0.001056257992058338
GAEMI,2024-07-22,-0.01572044799035105,-0.0011583092800977778
GAEMI,2024-07-23,-0.015469572759395348,-0.0013749428687171688
GAEMI,2024-07-24,-0.010126528217240518,-0.0016724897211163497
GAEMI,2024-07-25,-0.0071232962993489956,-0.0020022015787333224
GAEMI,2024-07-26,-0.011910710379203248,-0.0023083669749306705
GAEMI,2024-07-27,-0.01899161069343282,-0.0025448355877664454
GAEMI,2024-07-28,-0.021673026315137057,-0.0026837993249971682
GAEMI,2024-07-29,-0.025254385859762276,-0.0027179905282276907
PRAPIROON,2024-07-15,-0.010641778569034952,-0.002594378670381213
PRAPIROON,2024-07-16,-0.012038395690068027,-0.0025873442804256034
PRAPIROON,2024-07-17,-0.007264495468366144,-0.002554554356530564
PRAPIROON,2024-07-18,-0.001420868480099519,-0.0025025607536169818
PRAPIROON,2024-07-19,-0.0020395333482151876,-0.002448269703331031
PRAPIROON,2024-07-20,-0.003708450392281301,-0.002419615417315832
PRAPIROON,2024-07-21,-0.0048357953949532085,-0.002446790935634158
PRAPIROON,2024-07-22,-0.005442756772275179,-0.002549088662668027
PRAPIROON,2024-07-23,-0.006096510874774233,-0.0027342158800835433
