Cyclone,Peak_Date,SST_Large,SST_Meso,SST_Submeso,MSLA_Large,MSLA_Meso,MSLA_Submeso,SST_Large_Std,SST_Meso_Std,SST_Submeso_Std,MSLA_Large_Std,MSLA_Meso_Std,MSLA_Submeso_Std,SST_Submeso_Grad_Avg
EWINIAR,2024-05-26,0.3471317618997211,0.0035958590906125,0.0024479945567969,0.0005243922155891,9.692238253833012e-05,0.0003732741813593,-0.0775866797672666,-0.0215882352901944,-0.0273795917952344,0.0003902166832115,-0.0003998017585473,0.0002430431370497,0.0047012970100619245
GAEMI,2024-07-24,-0.2080131463257259,-0.0043219966322532,0.0144635856323612,0.0018492615322993,-2.8288242805590657e-05,-0.0006837620606338,-0.1384294763851223,-0.0488240164574329,-0.0765597852336025,0.0035028513392807,0.0012586533123333,0.0002657312630705,0.002139374968768133
PRAPIROON,2024-07-22,-0.3294751836392464,-0.0033280989709614,0.0052130573000944,0.0131870523797469,-0.0001893347429497,0.0003908057911063,0.0912459376541129,0.021407439556238,-0.0182520831551558,0.0008227965803373,-0.0015731807090961,-0.0009976026761881,0.0017945084512484037
MARIA,2024-08-08,0.047988799904111,0.0030766638299577,0.009135571537162,0.0121174327247619,4.713220752846686e-05,0.0002326680583711,-0.0840334539181457,-0.0463028583297553,-0.028876256141564,0.0051140472354764,0.000248267487598,-0.0019683991611649,0.004753302325248834
SON-TINH,2024-08-11,0.2090923659580212,-0.0093981779274834,-0.0091138145079099,0.0101328558059242,-0.0001376957443181,-0.0001693755100108,-0.0124841156944679,0.0178870111592086,0.00466116178732,0.0011435470859712,0.0003538020616353,0.0002231471494193,0.0044654505532080785
AMPIL,2024-08-16,0.0859944132763743,-0.003179173962561,-0.007490383446794,0.0133486409090378,-0.0001759198339904,-0.0002720439324155,-0.0012768451014366,0.0085628123115455,0.0140512753523063,0.00245334400875,0.0010024789830987,-0.0008269011004602,0.005020547462610839
JONGDARI,2024-08-19,-0.2998740880276713,0.0112061459789275,0.0050598224197269,-0.0018617121978601,5.012346803555067e-05,-0.0004006762753674,-0.1627329708898734,-0.0056290301551656,0.0436307917655914,-4.622508811191403e-05,0.0028029565055616,-0.0016217338434187,0.0065727026577872385
SHANSHAN,2024-08-27,-0.0362409856511583,-0.0031412876110494,-0.0072765969315446,-0.0026563468190152,3.979452522286293e-05,-8.36346994665671e-05,-0.1826857445354806,-0.0646971119529961,-0.0381828220418719,-0.0005305943165248,0.0008979914642413,-0.0007851219936735,0.004307408821132123
YAGI,2024-09-04,-0.1652827867032833,-0.0037957267721858,0.0060338981442468,-0.0057800597989101,3.3744632850456115e-05,0.0005839801664273,-0.0116844245407309,0.0011534663801782,-0.0300036772218392,0.0011580271408672,-0.0006852949458953,-0.0012126046698053,0.003158318541231124
LEEPI,2024-09-05,0.1879794529588991,-0.006779745026141,-0.0117719710814888,0.0041519132034416,-9.91405460012897e-06,6.070197100153853e-06,-0.001833201957611,-0.0063712148994473,0.0589594681943795,0.0024414660894468,-0.0013485879127859,-0.0011270762904849,0.004635648396532057
BEBINCA,2024-09-15,-0.0727975874492727,-0.0027631714894294,0.008756808994328,0.0046012337423815,0.0004199253234324,0.00135916765935,-0.1139737590095264,0.010410489087846,-0.0332663667047889,0.004910651619668,0.0004496876422468,0.0007713548892187,0.003393244544768161
PULASAN,2024-09-17,-0.1840241855307312,-0.0080246295591805,-0.0086844521462674,-0.0010941865836791,-4.11538203431229e-05,-6.509766951615797e-05,0.2014260203729296,0.002290957506122,-0.0043280465472517,0.0012122002374565,-0.0005115837370835,0.0002824578442908,0.004186286923312037
UNNAMED,2024-09-20,-0.2867970077863155,-0.0031418316046615,0.0043882543822682,-0.0066206480160189,-0.0003797409525313,0.0014191831381615,0.0804891477102877,0.0324577767209103,-0.070307028588463,-0.0012181696886576,-0.0012399375710021,0.0014067419261273,0.0021730519761324505
CIMARON,2024-09-24,-0.5017788453910157,-0.0076914276662673,-0.0576898273543929,0.0015316714761421,-8.458026728953394e-06,-0.0003927767081385,0.2089677049414545,0.0251651911177204,0.0091569959060118,0.0027131407408886,-0.0036578752454524,-0.0016157041036252,0.004300327108454016
JEBI,2024-10-01,-0.0751561249158605,-0.0012156618124923,-0.0024853045618908,0.001250008364316,-7.727154526847836e-05,-0.0002262878319389,-0.1200262380350984,-0.0544238146185807,-0.020502308649662,-0.002981508016896,-0.000149648238283,-0.001483018799324,0.004649098097073839
KRATHON,2024-09-30,-0.3487007068157801,-0.0063836553597204,-0.0037251149401914,-0.0045985922525798,-0.0008001717895649,0.0011275813829012,0.0550438638463087,0.062125778282791,-0.0030439222015103,0.001104074565859,-0.0027663304865707,0.0077868054099172,0.002344102454438249
BARIJAT,2024-10-10,-0.3536297987325767,-0.0010560556700106,-0.005719699403418,-0.0026894408477107,8.989025506585062e-06,-4.490020839591902e-05,0.1682170211177602,0.0512758951871139,0.0163343911316117,0.0064554075716899,0.0002097500766863,0.0001260748019708,0.004148707323568338
TRAMI,2024-10-25,-0.3613788524320078,-0.0014255979309087,0.0003283872705426,0.0028830063519471,0.0003184604314453,0.0013337441089605,0.0556949466144198,0.0154200794874018,0.0555857562065485,0.0068106319474956,0.000315080262918,0.0041191143928669,0.0032140209667113166
